City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed
59,Mukhen,RU,2022-04-29 02:07:34,scattered clouds,48.1,136.1,52.09,32,26,11.16
60,Puerto Madero,MX,2022-04-29 02:07:35,scattered clouds,14.7208,-92.4215,82.6,83,40,2.3
61,Saskylakh,RU,2022-04-29 02:07:36,overcast clouds,71.9167,114.0833,21.6,82,100,8.16
62,Kamenka,RU,2022-04-29 02:07:36,overcast clouds,51.3223,42.7678,43.0,65,98,7.07
63,Puerto Ayora,EC,2022-04-29 02:07:37,clear sky,-0.7393,-90.3518,71.76,91,3,6.98
64,Port Hardy,CA,2022-04-29 02:07:37,light intensity shower rain,50.6996,-127.4199,50.18,66,75,6.91
65,Tuatapere,NZ,2022-04-29 02:03:39,overcast clouds,-46.1333,167.6833,58.05,67,100,2.01
66,New Norfolk,AU,2022-04-29 02:07:38,moderate rain,-42.7826,147.0587,71.92,76,100,5.01
67,Chuy,UY,2022-04-29 02:07:38,clear sky,-33.6971,-53.4616,48.94,68,0,8.77
68,Sao Jose Da Coroa Grande,BR,2022-04-29 02:07:39,overcast clouds,-8.8978,-35.1478,77.97,77,98,8.97
69,Berdigestyakh,RU,2022-04-29 02:07:39,few clouds,62.0989,126.6992,34.18,73,24,4.81
70,Kavieng,PG,2022-04-29 02:07:40,scattered clouds,-2.5744,150.7967,86.31,64,31,6.08
71,Clyde River,CA,2022-04-29 02:07:35,overcast clouds,70.4692,-68.5914,3.43,92,100,4.61
72,Mount Isa,AU,2022-04-29 02:07:41,scattered clouds,-20.7333,139.5,89.37,45,45,12.66
73,Mehamn,NO,2022-04-29 02:07:41,light snow,71.0357,27.8492,25.97,82,100,17.85
74,Georgetown,MY,2022-04-29 02:07:32,few clouds,5.4112,100.3354,85.95,79,20,0.0
75,Kaitangata,NZ,2022-04-29 02:07:42,clear sky,-46.2817,169.8464,55.15,70,1,3.8
76,Ayorou,NE,2022-04-29 02:07:43,broken clouds,14.7308,0.9174,84.02,16,65,9.44
77,Mar Del Plata,AR,2022-04-29 02:07:43,clear sky,-38.0023,-57.5575,46.87,83,0,14.0
78,Busselton,AU,2022-04-29 02:00:51,clear sky,-33.65,115.3333,62.6,59,3,1.48
79,Longyearbyen,SJ,2022-04-29 02:07:44,few clouds,78.2186,15.6401,6.64,61,20,14.97
80,Tonj,SS,2022-04-29 02:07:44,overcast clouds,7.2737,28.6822,76.37,69,97,5.37
81,Hobart,AU,2022-04-29 02:07:45,moderate rain,-42.8794,147.3294,72.27,71,75,12.66
82,Petropavlovsk-Kamchatskiy,RU,2022-04-29 02:03:22,broken clouds,53.0452,158.6483,45.19,61,75,11.18
83,Kampot,KH,2022-04-29 02:07:46,overcast clouds,10.6167,104.1833,84.25,68,100,3.06
84,Nantucket,US,2022-04-29 02:07:46,few clouds,41.2835,-70.0995,50.11,48,20,18.41
85,Alice Springs,AU,2022-04-29 02:07:46,clear sky,-23.7,133.8833,90.95,17,1,10.36
86,Upernavik,GL,2022-04-29 02:07:47,overcast clouds,72.7868,-56.1549,13.82,93,100,5.14
87,Paragominas,BR,2022-04-29 02:03:14,overcast clouds,-2.9667,-47.4833,72.82,96,100,2.66
88,Bluff,NZ,2022-04-29 02:07:48,scattered clouds,-46.6,168.3333,57.79,69,35,4.21
89,Castro,BR,2022-04-29 02:07:33,overcast clouds,-24.7911,-50.0119,62.24,90,100,3.94
90,Vila,PT,2022-04-29 02:07:49,broken clouds,42.0304,-8.1588,45.48,86,52,4.0
91,Vestmannaeyjar,IS,2022-04-29 02:07:49,overcast clouds,63.4427,-20.2734,46.0,84,100,1.92
92,Mahebourg,MU,2022-04-29 02:07:50,scattered clouds,-20.4081,57.7,74.25,94,40,4.61
93,Fortuna,US,2022-04-29 02:07:38,clear sky,40.5982,-124.1573,56.93,65,0,9.22
94,Cabo San Lucas,MX,2022-04-29 02:07:51,clear sky,22.8909,-109.9124,79.11,50,0,0.0
95,Zyryanka,RU,2022-04-29 02:08:51,overcast clouds,65.75,150.85,22.89,82,100,11.88
96,New Haven,US,2022-04-29 02:06:52,clear sky,41.4001,-72.9329,48.06,29,0,21.0
97,Scarborough,GB,2022-04-29 02:08:07,overcast clouds,54.2797,-0.4044,37.9,87,100,0.6
98,Aketi,CD,2022-04-29 02:08:52,light rain,2.7388,23.7833,68.7,99,100,1.48
99,Hithadhoo,MV,2022-04-29 02:08:02,scattered clouds,-0.6,73.0833,84.67,65,36,4.27
100,Guasdualito,VE,2022-04-29 02:08:53,overcast clouds,7.2424,-70.7324,80.74,67,94,1.45
101,Watertown,US,2022-04-29 02:07:43,clear sky,42.3709,-71.1828,47.08,33,0,11.5
102,Zhangjiakou,CN,2022-04-29 02:08:54,overcast clouds,40.81,114.8794,56.79,45,97,4.85
103,Sherpur,BD,2022-04-29 02:08:54,clear sky,25.0188,90.0175,86.67,69,2,11.86
104,Korla,CN,2022-04-29 02:08:55,broken clouds,41.7597,86.1469,55.47,41,54,2.39
105,Batagay-Alyta,RU,2022-04-29 02:08:55,few clouds,67.8006,130.4114,18.64,80,15,4.63
106,Anadyr,RU,2022-04-29 02:08:56,clear sky,64.75,177.4833,32.5,69,0,2.24
107,Hay River,CA,2022-04-29 02:08:56,scattered clouds,60.8156,-115.7999,35.04,80,29,8.25
108,Lewistown,US,2022-04-29 02:08:57,clear sky,40.5992,-77.5714,47.61,23,0,0.0
109,Matagami,CA,2022-04-29 02:08:57,clear sky,49.7502,-77.6328,30.31,64,0,2.3
110,Kuybysheve,UA,2022-04-29 02:05:21,overcast clouds,47.358,36.6491,55.18,63,97,6.17
111,Hilo,US,2022-04-29 02:05:30,few clouds,19.7297,-155.09,80.28,77,20,9.22
112,Camaqua,BR,2022-04-29 02:08:59,scattered clouds,-30.8511,-51.8122,57.92,97,32,4.29
113,Champerico,GT,2022-04-29 02:08:59,clear sky,14.3,-91.9167,85.03,65,6,4.79
114,Flinders,AU,2022-04-29 02:09:00,scattered clouds,-34.5833,150.8552,81.05,70,47,7.0
115,Thompson,CA,2022-04-29 02:04:43,overcast clouds,55.7435,-97.8558,35.38,90,100,6.17
116,Sinnamary,GF,2022-04-29 02:04:38,overcast clouds,5.3833,-52.95,77.97,87,87,11.43
117,Ternate,ID,2022-04-29 02:09:01,overcast clouds,0.8,127.4,83.8,71,95,4.88
118,Vaini,TO,2022-04-29 02:09:01,scattered clouds,-21.2,-175.2,82.56,65,40,10.36
119,Hermanus,ZA,2022-04-29 02:06:55,overcast clouds,-34.4187,19.2345,60.98,89,100,6.64
120,Cap Malheureux,MU,2022-04-29 02:09:03,few clouds,-19.9842,57.6142,74.46,78,12,3.0
121,Iqaluit,CA,2022-04-29 02:09:03,overcast clouds,63.7506,-68.5145,-7.56,89,98,1.54
122,Northfield,US,2022-04-29 02:09:04,overcast clouds,44.4583,-93.1616,50.72,69,100,11.5
123,Fare,PF,2022-04-29 02:09:04,clear sky,-16.7,-151.0167,81.84,70,0,22.03
124,Shimoda,JP,2022-04-29 02:09:05,moderate rain,34.6667,138.95,59.36,85,100,15.19
125,Avarua,CK,2022-04-29 02:07:45,few clouds,-21.2078,-159.775,80.65,83,20,12.66
126,Ustyuzhna,RU,2022-04-29 02:09:06,broken clouds,58.8394,36.4321,27.93,63,77,5.37
127,Valparaiso,CL,2022-04-29 02:05:26,clear sky,-33.0393,-71.6273,59.47,65,0,2.3
128,Shelburne,CA,2022-04-29 02:09:07,clear sky,44.0787,-80.2041,33.6,53,4,5.86
129,Iracoubo,GF,2022-04-29 02:09:07,overcast clouds,5.4802,-53.2011,78.19,86,100,11.88
130,Grand Gaube,MU,2022-04-29 02:09:08,clear sky,-20.0064,57.6608,74.37,78,10,3.0
131,Arraial Do Cabo,BR,2022-04-29 02:09:09,clear sky,-22.9661,-42.0278,75.25,88,1,19.19
132,Poland,US,2022-04-29 02:09:09,clear sky,44.0606,-70.3937,44.92,38,0,16.11
133,Clermont,FR,2022-04-29 02:09:10,overcast clouds,49.5,2.4167,47.01,78,100,8.34
134,Severo-Kurilsk,RU,2022-04-29 02:09:11,overcast clouds,50.6789,156.125,35.33,91,89,18.03
135,Truth Or Consequences,US,2022-04-29 02:09:12,clear sky,33.1284,-107.2528,79.03,7,0,14.97
136,Coahuayana,MX,2022-04-29 02:10:12,clear sky,18.7333,-103.6833,74.41,81,0,2.44
137,Mahon,ES,2022-04-29 02:05:56,scattered clouds,39.8885,4.2658,57.76,94,40,9.22
138,Talnakh,RU,2022-04-29 02:10:13,overcast clouds,69.4865,88.3972,15.21,78,100,4.05
139,Barrow,US,2022-04-29 02:10:13,light snow,71.2906,-156.7887,8.62,78,100,20.71
140,Tocopilla,CL,2022-04-29 02:10:14,overcast clouds,-22.092,-70.1979,64.87,78,100,3.69
141,Oistins,BB,2022-04-29 02:09:58,scattered clouds,13.0667,-59.5333,78.89,89,40,12.66
142,Chartres,FR,2022-04-29 02:10:15,overcast clouds,48.4167,1.5,51.71,82,100,5.01
143,Mitsamiouli,KM,2022-04-29 02:10:16,broken clouds,-11.3847,43.2844,80.8,73,70,18.45
144,Moerai,PF,2022-04-29 02:10:16,clear sky,-22.4333,-151.3333,80.08,66,0,18.12
145,Mangrol,IN,2022-04-29 02:10:17,clear sky,21.1167,70.1167,83.16,71,0,11.7
146,Mersing,MY,2022-04-29 02:10:18,overcast clouds,2.4312,103.8405,83.98,75,100,3.89
147,Waipawa,NZ,2022-04-29 02:10:18,clear sky,-41.4122,175.5153,57.47,58,7,7.65
148,Srivardhan,IN,2022-04-29 02:10:19,clear sky,18.0333,73.0167,82.29,82,6,2.86
149,Yamada,JP,2022-04-29 02:10:19,overcast clouds,39.4667,141.95,50.34,45,100,7.74
150,Itarema,BR,2022-04-29 02:10:20,few clouds,-2.9248,-39.9167,76.39,89,21,6.67
151,Tautira,PF,2022-04-29 02:10:20,light rain,-17.7333,-149.15,80.17,76,23,21.03
152,Sri Aman,MY,2022-04-29 02:10:21,broken clouds,1.2376,111.4621,84.76,72,83,3.4
153,Bandundu,CD,2022-04-29 02:10:21,scattered clouds,-3.3167,17.3667,70.79,96,41,1.77
154,Atambua,ID,2022-04-29 02:10:22,scattered clouds,-9.1061,124.8925,83.43,55,42,1.59
155,Tabuk,PH,2022-04-29 02:10:22,overcast clouds,17.4189,121.4443,87.3,56,100,6.49
156,Impfondo,CG,2022-04-29 02:10:23,overcast clouds,1.6381,18.0667,72.16,90,100,0.51
157,Kyzyl-Suu,KG,2022-04-29 02:10:23,clear sky,42.3414,78.0056,49.55,31,0,1.99
158,Husavik,IS,2022-04-29 02:10:24,clear sky,66.0449,-17.3389,42.31,67,8,5.57
159,Tabory,RU,2022-04-29 02:10:25,overcast clouds,58.5198,64.5495,38.68,78,99,9.1
160,Port Alfred,ZA,2022-04-29 02:07:59,clear sky,-33.5906,26.891,66.97,52,10,9.69
161,Broken Hill,AU,2022-04-29 02:10:26,overcast clouds,-31.95,141.4333,76.96,32,99,13.38
162,Palana,RU,2022-04-29 02:10:26,clear sky,59.1167,159.9667,35.02,69,6,18.19
163,Bella Union,UY,2022-04-29 02:10:27,clear sky,-30.2752,-57.6007,53.94,81,0,8.63
164,Piacabucu,BR,2022-04-29 02:10:27,overcast clouds,-10.4056,-36.4344,76.19,83,100,6.11
165,Akyab,MM,2022-04-29 02:10:28,clear sky,20.15,92.9,83.88,73,4,3.4
166,Vanimo,PG,2022-04-29 02:10:29,overcast clouds,-2.6741,141.3028,87.19,62,100,4.12
167,Lebu,CL,2022-04-29 02:07:59,clear sky,-37.6167,-73.65,48.54,80,1,16.37
168,Puerto Quijarro,BO,2022-04-29 02:10:30,broken clouds,-17.7833,-57.7667,83.07,41,84,2.26
169,Pangoa,PE,2022-04-29 02:10:31,overcast clouds,-12.1167,-73.0,67.46,99,100,2.33
170,Khatanga,RU,2022-04-29 02:07:13,broken clouds,71.9667,102.5,17.1,90,63,2.53
171,Namibe,AO,2022-04-29 02:10:32,clear sky,-15.1961,12.1522,73.0,70,5,5.03
172,Souillac,MU,2022-04-29 02:01:30,scattered clouds,-20.5167,57.5167,71.98,94,40,4.61
173,Sitka,US,2022-04-29 02:10:33,scattered clouds,57.0531,-135.33,51.69,62,40,10.36
174,East London,ZA,2022-04-29 02:10:33,clear sky,-33.0153,27.9116,69.66,45,3,8.77
175,Parva,RO,2022-04-29 02:10:34,overcast clouds,47.4,24.55,41.88,94,89,5.91
176,Ilhabela,BR,2022-04-29 02:08:47,broken clouds,-23.7781,-45.3581,76.84,73,68,4.14
177,San Andres Sajcabaja,GT,2022-04-29 02:10:35,scattered clouds,15.2167,-90.9167,65.79,90,49,3.74
178,Nchelenge,ZM,2022-04-29 02:11:35,broken clouds,-9.3451,28.734,63.48,91,71,7.29
179,Pevek,RU,2022-04-29 02:11:36,overcast clouds,69.7008,170.3133,29.03,94,100,9.17
180,Makat,KZ,2022-04-29 02:11:37,clear sky,47.6469,53.3463,64.72,52,10,1.66
181,Sampit,ID,2022-04-29 02:11:37,scattered clouds,-2.5333,112.95,87.49,67,39,0.69
182,Guerrero Negro,MX,2022-04-29 02:08:36,clear sky,27.9769,-114.0611,60.21,72,0,20.67
183,Asahikawa,JP,2022-04-29 02:11:38,overcast clouds,43.7678,142.3703,51.85,29,100,9.01
184,Carnarvon,AU,2022-04-29 02:07:34,clear sky,-24.8667,113.6333,75.27,41,0,19.57
185,Yulara,AU,2022-04-29 02:09:13,overcast clouds,-25.2406,130.9889,75.04,38,100,12.66
