City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
613,Amahai,ID,83.12,broken clouds,-3.3333,128.9167,HOTEL ISABELA
614,Dubai,AE,84.13,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
625,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
633,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
650,Witu,KE,78.96,overcast clouds,-2.3889,40.4382,
653,Bambanglipuro,ID,83.26,scattered clouds,-7.95,110.2833,Puri Brata
659,Coolum Beach,AU,79.11,few clouds,-26.5333,153.1,Coolum Beach Resort
680,Marawi,PH,80.11,broken clouds,7.9986,124.2928,Derogongan Residence
681,Kaduqli,SD,84.11,overcast clouds,11.0167,29.7167,Nussyba
686,Maumere,ID,84.13,broken clouds,-8.6199,122.2111,Sylvia Hotel
687,Ormara,PK,83.3,clear sky,25.2088,64.6357,Kenara Colony house for Rent
689,Pindiga,NG,79.59,overcast clouds,9.9833,10.9333,Accommodation Center
698,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
